scenario,provider,question,recall,correct,n_cited,n_retrieved,single_chunk,multi_chunk,citation_precision,citation_efficiency,cited,retrieved,predicted,reference
apr21isc,Claude Sonnet 4,1,1.0,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,Claude Sonnet 4,2,0.0,0,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,(none),laptop-x9naq2eu
apr21isc,Claude Sonnet 4,3,0.0,0,1,1,1,0,1.0,1.0,kerberos_clients_result.json,kerberos_clients_result.json,(none),wilmer.coughlin
apr21isc,Claude Sonnet 4,4,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,2021-03-29 22:00 utc,2021-03-29 22:00 utc
apr21isc,Claude Sonnet 4,5,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,bazaloader/bazar backdoor,baza
apr21isc,Claude Sonnet 4,6,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,(none),104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,Claude Sonnet 4,7,0.5,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,gtmers.xyz,gtmers.xyz;veso2.xyz
apr21isc,Claude Sonnet 4,8,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,(none),forenzik.kz
apr21isc,Cisco 8B,1,1.0,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,Cisco 8B,2,0.0,0,0,1,0,0,,0.0,,suspicious_domains_result.json,192.168.5.125,laptop-x9naq2eu
apr21isc,Cisco 8B,3,1.0,1,1,1,1,0,1.0,1.0,kerberos_clients_result.json,kerberos_clients_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,Cisco 8B,4,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,2021-03-29 22:00:00,2021-03-29 22:00 utc
apr21isc,Cisco 8B,5,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,bazaloader;bazar backdoor,baza
apr21isc,Cisco 8B,6,0.0,0,0,1,0,0,,0.0,,suspicious_certificates_result.json,(none),104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,Cisco 8B,7,0.5,1,0,1,0,0,,0.0,,suspicious_domains_result.json,192.168.5.125;8.209.100.246;gtmers.xyz,gtmers.xyz;veso2.xyz
apr21isc,Cisco 8B,8,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,no,forenzik.kz
apr21isc,DeepSeek V3,1,1.0,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,DeepSeek V3,2,0.0,0,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,(none),laptop-x9naq2eu
apr21isc,DeepSeek V3,3,1.0,1,1,1,1,0,1.0,1.0,kerberos_clients_result.json,kerberos_clients_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,DeepSeek V3,4,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,2021-03-29 22:00,2021-03-29 22:00 utc
apr21isc,DeepSeek V3,5,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,bazaloader;bazarbackdoor,baza
apr21isc,DeepSeek V3,6,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,(none),104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,DeepSeek V3,7,0.5,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,gtmers.xyz,gtmers.xyz;veso2.xyz
apr21isc,DeepSeek V3,8,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,(none),forenzik.kz
apr21isc,Ollama 3.1:70b,1,1.0,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,Ollama 3.1:70b,2,0.0,0,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,(none),laptop-x9naq2eu
apr21isc,Ollama 3.1:70b,3,1.0,1,1,1,1,0,1.0,1.0,kerberos_clients_result.json,kerberos_clients_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,Ollama 3.1:70b,4,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,2021-03-29 22:00,2021-03-29 22:00 utc
apr21isc,Ollama 3.1:70b,5,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,bazaloader;bazar backdoor,baza
apr21isc,Ollama 3.1:70b,6,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,not found,104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,Ollama 3.1:70b,7,0.5,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,gtmers.xyz,gtmers.xyz;veso2.xyz
apr21isc,Ollama 3.1:70b,8,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,not found,forenzik.kz
apr21isc,GPT-4,1,1.0,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,GPT-4,2,0.0,0,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,(none),laptop-x9naq2eu
apr21isc,GPT-4,3,1.0,1,1,1,1,0,1.0,1.0,kerberos_clients_result.json,kerberos_clients_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,GPT-4,4,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,2021-03-29 22:00,2021-03-29 22:00 utc
apr21isc,GPT-4,5,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,bazaloader;bazar backdoor,baza
apr21isc,GPT-4,6,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,(none),104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,GPT-4,7,0.5,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,"""fonts.gstatic.com"";""gtmers.xyz"";""img-prod-cms-rt-microsoft-com.akamaized.net""",gtmers.xyz;veso2.xyz
apr21isc,GPT-4,8,0.0,0,1,1,1,0,1.0,1.0,suspicious_certificates_result.json,suspicious_certificates_result.json,(none),forenzik.kz
apr21isc,GPT-4o,1,1.0,1,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,GPT-4o,2,0.0,0,1,1,1,0,1.0,1.0,suspicious_domains_result.json,suspicious_domains_result.json,(none),laptop-x9naq2eu
apr21isc,GPT-4o,3,1.0,1,1,1,1,0,1.0,1.0,kerberos_clients_result.json,kerberos_clients_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,GPT-4o,4,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,2021-03-29 22:00,2021-03-29 22:00 utc
apr21isc,GPT-4o,5,1.0,1,1,1,1,0,1.0,1.0,suricata_alerts_result.json,suricata_alerts_result.json,bazaloader;bazar backdoor,baza
